GEOID10,P0010001,District
481872108041024,62,6
481872103005010,9,5
481872103005019,4,5
481872103005032,0,5
481872103003030,0,8
481872108012001,30,1
481872103004024,1,7
481872101003020,20,5
481872101004045,26,5
481872103005008,4,5
481872103004017,0,7
481872103004018,0,7
481872103005047,0,5
481872103005038,14,5
481872103005026,24,5
481872103005039,21,5
481872103004001,25,5
481872101003005,31,2
481872101002023,35,2
481872101003001,20,2
481872104003002,0,2
481872103003035,0,8
481872103003036,0,8
481872105041064,0,4
481872108041000,0,6
481872108031006,0,6
481872109022019,0,3
481872104001001,0,1
481872104001014,73,1
481872104001027,36,1
481872109021039,0,8
481872105041046,0,4
481872105041085,0,6
481872105041062,176,4
481872108011068,43,6
481872105042001,30,3
481872105041041,0,4
481872101003030,20,2
481872101004002,25,2
481872101004022,16,2
481872103005043,20,5
481872101004024,13,1
481872104003023,0,1
481872104002013,18,1
481872104001005,11,1
481872103002001,86,7
481872103002003,11,7
481872108012008,0,1
481872108012002,0,1
481872108031004,0,6
481872108031012,78,6
481872108031005,115,6
481872105042022,6,4
481872101002035,16,2
481872105041025,46,4
481872105042060,24,3
481872105042036,3,4
481872105042032,90,3
481872101003028,16,2
481872101003029,21,2
481872101004020,23,2
481872104002011,21,1
481872104002016,0,1
481872103002034,26,7
481872103004035,27,7
481872103004047,55,7
481872104002027,5,1
481872108012020,57,8
481872108031009,0,6
481872108011030,223,6
481872103005055,19,5
481872108011084,82,8
481872105041080,93,6
481872105041016,54,4
481872104002031,12,1
481872108012014,20,8
481872104002043,0,1
481872104003012,50,2
481872105041022,205,4
481872105041023,108,4
481872109022005,0,3
481872104001015,63,2
481872104001021,28,1
481872104001028,20,2
481872104001018,5,2
481872108041043,0,6
481872108031015,0,6
481872109011041,99,3
481872108012011,15,8
481872104002037,29,1
481872108011090,0,8
481872104003005,49,2
481872104003010,0,2
481872104001012,77,1
481872104001019,6,2
481872109021017,77,1
481872108011056,0,8
481872103001019,59,5
481872108031002,0,6
481872109011176,59,3
481872108012007,74,1
481872108011016,0,6
481872105041006,195,4
481872105041086,0,6
481872103001008,78,6
481872103005012,71,5
481872103003034,0,8
481872105042040,10,3
481872105062049,0,4
481872108011064,26,8
481872102002019,0,5
481872104002029,67,7
481872101001012,69,3
481872102002000,0,5
481872102002001,0,5
481872103002023,92,7
481872105042038,26,4
481872109011183,11,3
481872108011075,342,8
481872101004046,0,5
481872103005001,39,5
481872104002024,9,1
481872104002025,2,1
481872104001002,0,1
481872103002039,15,7
481872103004045,14,7
481872103004043,0,7
481872103004032,4,7
481872103004033,23,7
481872108012010,42,8
481872108011085,30,8
481872105041040,85,4
481872105041021,30,4
481872101001025,16,3
481872102001035,0,3
481872101001009,0,3
481872102003025,91,5
481872105041082,15,6
481872105082014,0,4
481872105082020,4,4
481872105042048,45,3
481872103002002,27,7
481872103002033,50,7
481872109021040,0,8
481872108011019,0,6
481872108012009,0,8
481872108011052,0,6
481872108013014,579,8
481872105041087,0,6
481872103004002,4,5
481872104003019,47,2
481872103003029,0,8
481872102001006,0,3
481872105042021,73,4
481872105042053,66,3
481872105041032,0,4
481872103003006,27,8
481872108013013,97,8
481872108011003,0,6
481872104002040,0,1
481872109011202,0,3
481872109021030,550,8
481872108012023,20,8
481872108012028,54,8
481872108011089,153,8
481872104003007,455,2
481872104003017,45,2
481872109022018,0,3
481872104003008,0,2
481872104001020,69,2
481872104001025,147,1
481872108011037,0,6
481872108011021,0,6
481872105042042,8,3
481872101001024,47,2
481872101003013,6,5
481872109021033,179,8
481872103004012,0,7
481872105042050,89,3
481872108011027,4,6
481872108011054,0,6
481872105041035,317,4
481872108011022,0,6
481872108011041,4,6
481872102002002,0,4
481872101001005,0,2
481872102001017,55,3
481872105041069,0,4
481872102003010,10,7
481872103001002,8,6
481872102003015,139,6
481872108011005,58,6
481872101002036,7,2
481872104001016,13,2
481872103004048,0,7
481872102002015,1,5
481872102002016,36,5
481872103001009,0,6
481872103003001,32,6
481872102003012,27,5
481872102003028,81,7
481872102004008,35,7
481872103001022,53,5
481872104002002,0,1
481872105041094,114,6
481872108011053,0,6
481872108011017,168,6
481872109022026,47,2
481872108011018,19,6
481872108011011,0,6
481872108011047,0,6
481872105042068,2,4
481872108013023,61,8
481872105041091,0,3
481872105042054,0,3
481872108011065,4,8
481872109022000,55,3
481872101004048,29,1
481872101004030,13,2
