GEOID10,P0010001,District
481872102003038,15,2
481872104002004,0,5
481872104002000,0,5
481872103002038,31,2
481872103004022,0,2
481872103004036,13,2
481872103004046,31,2
481872103004030,7,2
481872104002030,31,5
481872108013005,9,1
481872109021018,98,5
481872109021041,150,5
481872109021013,89,5
481872108011051,0,4
481872108012012,50,1
481872108012013,27,1
481872104001000,42,5
481872104002038,11,5
481872104001026,0,5
481872101002004,56,6
481872109022002,0,7
481872105041024,187,8
481872105041059,15,8
481872104003000,26,7
481872105042052,51,7
481872103002041,86,3
481872103002026,131,3
481872108011087,44,1
481872108011035,0,4
481872105041018,25,8
481872105042034,228,7
481872104002042,0,1
481872105041090,0,7
481872101001013,62,7
481872104002018,17,5
481872101004028,38,5
481872102002007,0,8
481872102002032,0,8
481872102003014,26,3
481872108011004,0,4
481872108011000,0,8
481872104001003,0,5
481872102002031,8,3
481872102003007,22,3
481872108031003,0,4
481872108031001,0,4
481872101002009,78,6
481872101002024,27,6
481872101003016,42,6
481872101003025,22,6
481872104003020,0,6
481872104003022,0,6
481872101003032,31,6
481872108012019,37,1
481872108011036,0,4
481872105041005,38,8
481872105041029,2,8
481872103004029,0,2
481872103004034,65,2
481872109022020,134,7
481872109022023,183,7
481872105041078,0,4
481872105042025,502,7
481872105042056,10,7
481872108031016,0,4
481872102003037,4,2
481872102004032,33,2
481872102004033,71,2
481872103004009,4,2
481872103005009,0,2
481872103005018,1,2
481872103005034,0,2
481872103004015,11,2
481872101004008,22,6
481872101004055,28,2
481872101004014,12,6
481872101004033,15,6
481872103005007,33,2
481872103005023,30,5
481872103004025,0,2
481872103005037,0,5
481872103004019,7,5
481872103005040,43,5
481872101003004,0,6
481872101003027,16,6
481872101003026,22,6
481872101002005,106,7
481872103003033,0,4
481872108011010,0,8
481872103001013,86,4
481872105041031,0,8
481872105042045,0,7
481872109021021,29,5
481872109022017,0,7
481872103002000,3,2
481872103004013,20,2
481872102003024,20,3
481872103004049,0,2
481872102001033,23,2
481872105041089,0,7
481872102003030,31,2
481872103005027,6,3
481872105041042,0,8
481872104002034,14,5
481872105041003,66,8
481872108041036,1,4
481872103002025,5,3
481872105042029,0,7
481872104002035,11,5
481872104001013,26,5
481872108013017,15,1
481872109022015,0,7
481872108011071,134,4
481872105041058,0,8
481872105042059,11,7
481872105041066,0,8
481872108011045,28,4
481872105042041,67,7
481872105041015,76,8
481872102002026,40,3
481872103003012,30,4
481872103003015,18,4
481872103002013,70,3
481872102004007,21,3
481872102003017,53,3
481872102004010,0,3
481872103002032,286,3
481872103002020,29,3
481872103001025,0,3
481872104002028,0,2
481872102001004,0,8
481872108011014,0,4
481872108013020,69,1
481872102001019,50,3
481872102001020,54,2
481872102001013,45,2
481872101001022,62,2
481872102001023,36,2
481872102001028,56,2
481872102002020,0,2
481872102003005,18,2
481872102003001,0,2
481872101002013,26,6
481872101002033,28,6
481872102003016,19,2
481872102004014,16,2
481872102004003,26,2
481872102004018,28,2
481872102004023,4,2
481872103005017,0,2
481872108031010,0,4
481872108031014,0,4
481872105062034,146,7
481872108012005,21,5
481872104003006,12,6
481872105041084,9,4
481872104001009,167,5
481872104001024,0,5
481872108012000,0,5
481872108011081,7,1
481872109021043,51,5
481872103005054,12,2
481872105041088,0,4
481872105042030,49,7
481872104002003,110,5
481872109021044,37,5
481872103003026,0,3
481872105041049,0,8
481872105041044,0,8
481872105042008,18,7
481872105042037,0,7
481872108011080,0,1
481872109021012,32,7
481872109022025,3,7
481872103005000,37,5
481872101002014,35,6
481872101002010,3,6
481872105041067,0,8
481872103001010,458,4
481872103001011,0,4
481872101002030,0,2
481872103001015,0,4
481872102002018,2,2
481872102002017,83,3
481872103001018,88,4
481872102003013,28,3
481872102003006,36,3
481872102004011,64,3
481872103005016,9,3
481872103005056,4,3
481872103001021,35,2
481872103002012,0,3
481872108041004,69,4
481872103005051,0,2
481872103004016,0,2
481872101003021,30,6
481872101004037,0,6
481872102004022,0,2
481872101004007,24,6
481872101004034,12,6
481872103005006,14,5
481872103004005,0,2
481872103005046,0,5
481872103004027,9,5
481872101002034,30,6
481872101003002,13,6
481872101003000,4,6
481872104003013,0,6
481872103003037,0,4
481872108011023,0,4
481872108011024,0,4
481872108011066,0,1
481872109022004,0,7
481872101003018,26,6
481872101004029,9,5
481872108031017,0,4
481872103001017,109,4
481872102004006,8,3
481872103001023,19,3
481872101001001,0,7
481872102003026,66,3
481872105041083,0,4
481872108011033,0,4
481872102001007,142,3
481872101001006,3,7
481872101001008,0,7
481872103001005,0,8
481872103001012,0,4
481872103003004,0,4
481872103003003,169,4
481872104002001,138,5
481872105042069,34,7
481872103001016,0,4
481872102002022,0,2
481872102003009,5,3
481872103003013,33,4
481872102003027,43,3
481872102004026,46,2
481872103005015,0,3
481872103002018,26,3
481872103002035,24,3
481872108012015,0,1
481872108011015,0,4
481872101001027,0,7
