GEO ID,Seed, ,Districtings
481872108041024,3, 
481872103005010,2, 
481872103005019,2, 
481872103005032,5, 
481872103003030,6, 
481872108012001,6, 
481872103004024,5, 
481872101003020,2, 
481872101004045,7, 
481872103005008,2, 
481872103004017,5, 
481872103004018,5, 
481872103005047,5, 
481872103005038,5, 
481872103005026,2, 
481872103005039,5, 
481872103004001,5, 
481872101003005,7, 
481872101002023,1, 
481872101003001,7, 
481872104003002,8, 
481872103003035,6, 
481872103003036,6, 
481872105041064,3, 
481872108041000,3, 
481872108031006,3, 
481872109022019,8, 
481872104001001,8, 
481872104001014,8, 
481872104001027,8, 
481872109021039,8, 
481872105041046,3, 
481872105041085,3, 
481872105041062,3, 
481872108011068,3, 
481872105042001,8, 
481872105041041,3, 
481872101003030,7, 
481872101004002,7, 
481872101004022,7, 
481872103005043,5, 
481872101004024,7, 
481872104003023,8, 
481872104002013,7, 
481872104001005,7, 
481872103002001,5, 
481872103002003,5, 
481872108012008,6, 
481872108012002,6, 
481872108031004,3, 
481872108031012,3, 
481872108031005,3, 
481872105042022,1, 
481872101002035,1, 
481872105041025,3, 
481872105042060,8, 
481872105042036,1, 
481872105042032,8, 
481872101003028,7, 
481872101003029,7, 
481872101004020,7, 
481872104002011,7, 
481872104002016,7, 
481872103002034,5, 
481872103004035,5, 
481872103004047,6, 
481872104002027,7, 
481872108012020,6, 
481872108031009,3, 
481872108011030,3, 
481872103005055,5, 
481872108011084,6, 
481872105041080,3, 
481872105041016,1, 
481872104002031,7, 
481872108012014,6, 
481872104002043,8, 
481872104003012,8, 
481872105041022,3, 
481872105041023,3, 
481872109022005,8, 
481872104001015,8, 
481872104001021,8, 
481872104001028,8, 
481872104001018,8, 
481872108041043,3, 
481872108031015,3, 
481872109011041,8, 
481872108012011,6, 
481872104002037,7, 
481872108011090,6, 
481872104003005,8, 
481872104003010,8, 
481872104001012,8, 
481872104001019,8, 
481872109021017,8, 
481872108011056,6, 
481872103001019,4, 
481872108031002,3, 
481872109011176,8, 
481872108012007,6, 
481872108011016,3, 
